1	JJ NNS
1	JJ NN
1	NN NNS
0	VVG TO
0	NNS IN JJ NN
1	NN NN
1	EX VBP
1	DT JJ
1	NP NP
1	IN NN
1	EX VBZ
0	IN IN
1	NP NNS
0	VV RP
1	DT NN
1	EX VBD
1	RB RBR
0	VVN RP
1	IN JJS
1	TO NN
0	VV NN
1	RB IN
0	JJ TO
1	RB RB
0	VVD RP
0	VVN IN
0	VVN NN
1	RB VVN
1	VVG NN
1	, NNP
0	VVD IN
0	VV JJ
0	VHP TO
0	VV RB
0	VVZ RP
0	VH TO
0	VV IN
1	DT IN
0	VVP RP
0	VVG RB
1	VHP VVN
1	PDT RP
1	NN : NN
2	NP NP NP
0	VHD ,
1	NP NN
0	VVD RB
0	NNS IN NP NN
0	NNP CD
0	VHZ VVN
0	VVN TO
0	VVD TO
1	DT JJR
0	VVP IN
1	MD VVN
2	IN DT NN
0	VVP JJ
1	IN NNS
1	NP VVZ
0	NN IN
1	VBZ VVN
1	( NN
0	VVG IN
0	NNS (
0	NNS SENT
2	PDT DT NN
0	VVD NN
0	VVG RP
1	NNP NNP
0	VVP NN
1	DT RBR
